"","country","year","onset","instab","warl","gdpenl","lpopl1","lmtnest","ncontig","Oil","nwstate","polity2l","ethfrac","relfrac"
"3504","GABON",1982,0,0,0,4.50400018692017,6.7274317741394,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3505","GABON",1983,0,0,0,4.22599983215332,6.77422380447388,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3506","GABON",1984,0,0,0,4.30100011825562,6.82001638412476,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3507","GABON",1985,0,0,0,4.45800018310547,6.86380338668823,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3508","GABON",1986,0,0,0,4.07200002670288,6.90475082397461,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3509","GABON",1987,0,0,0,4.03000020980835,6.93049478530884,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3510","GABON",1988,0,0,0,3.43199992179871,6.95654535293579,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3511","GABON",1989,0,0,0,3.28299999237061,6.98193454742432,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3512","GABON",1990,0,0,0,3.83299994468689,7.00760078430176,0.0676586478948593,0,1,0,-9,0.688142776489258,0.454999983310699
"3513","GABON",1991,0,1,0,3.95799994468689,7.03526878356934,0.0676586478948593,0,1,0,-6,0.688142776489258,0.454999983310699
"3514","GABON",1992,0,1,0,3.69600009918213,7.06304836273193,0.0676586478948593,0,1,0,-4,0.688142776489258,0.454999983310699
"3515","GABON",1993,0,1,0,3.62199997901917,7.09090995788574,0.0676586478948593,0,1,0,-4,0.688142776489258,0.454999983310699
"3516","GABON",1994,0,0,0,3.61599993705750,6.95177221298218,0.0676586478948593,0,1,0,-4,0.688142776489258,0.454999983310699
"3517","GABON",1995,0,0,0,3.65000009536743,6.97634792327881,0.0676586478948593,0,1,0,-4,0.688142776489258,0.454999983310699
